effective_date,action,scope,ad_valorem_change_pp,hts_note,source_url,confidence
2020-02-08,s232_derivatives_2020,"Global with country carve-outs, derivative steel and aluminum articles",25,"Proc 9980; steel derivatives 25% (nails/staples HTS 7317, bumper and body stampings 8708.10/8708.29); aluminum derivatives 10% (stranded wire 7614)",https://www.govinfo.gov/content/pkg/FR-2020-01-29/html/2020-01806.htm,high
2020-02-14,s301_list4a_reduction,"China, ~$120B, List 4A rate cut under the Phase One agreement",-7.5,"15% -> 7.5%; HTS 61, 62, 64 etc.",https://www.federalregister.gov/documents/2020/01/22/2020-00904/notice-of-modification-of-section-301-action-chinas-acts-policies-and-practices-related-to,high
2023-02-08,s201_washers_expire,"Large residential washers safeguard terminates at the 5-year statutory maximum",-14,"in-quota 14% -> 0, over-quota 30% -> 0; HTS 8450",https://www.cbp.gov/trade/quota/bulletins/qb-23-505,high
2024-09-27,s301_4yr_ev,"China, electric vehicles",75,"HTS 8703.80; 25% -> 100%",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2024-09-27,s301_4yr_solar_cells,"China, solar cells whether or not assembled into modules",25,"HTS 8541.42/8541.43; 25% -> 50%",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2024-09-27,s301_4yr_syringes,"China, syringes and needles",100,"HTS 9018.31/9018.32; 0% -> 100%; enteral syringes excluded",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2024-09-27,s301_4yr_ev_batteries,"China, lithium-ion EV batteries",17.5,"HTS 8507.60; 7.5% -> 25%",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2024-09-27,s301_4yr_battery_parts,"China, non-lithium-ion battery parts",17.5,"HTS 8507.90; 7.5% -> 25%",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2024-09-27,s301_4yr_critical_minerals,"China, other critical minerals",25,"HTS ch. 25, 26, 28, 81; 0% -> 25%",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2024-09-27,s301_4yr_cranes,"China, ship-to-shore gantry cranes",25,"HTS 8426.19; 0% -> 25%; exclusion for orders placed before May 14 2024",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2024-09-27,s301_4yr_steel_alum,"China, steel and aluminum products, ~321 subheadings",25,"HTS 72, 73, 76; prior rates 0-7.5% -> 25%, so change is +17.5 to +25pp",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2024-09-27,s301_4yr_facemasks,"China, facemasks and respirators",17.5,"HTS 6307.90, 9020; 7.5% -> 25%",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2025-01-01,s301_4yr_semiconductors,"China, semiconductors",25,"HTS 8541, 8542; 25% -> 50%",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2025-01-01,s301_4yr_med_gloves,"China, rubber medical and surgical gloves",42.5,"HTS 4015.12; 7.5% -> 50%",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2025-01-01,s301_tungsten,"China, tungsten products",25,"HTS 8101.94.00, 8101.99.10, 8101.99.80; 0% -> 25%",https://www.federalregister.gov/documents/2024/12/16/2024-29462/notice-of-modification-chinas-acts-policies-and-practices-related-to-technology-transfer,high
2025-01-01,s301_polysilicon_wafers,"China, polysilicon and doped wafers",25,"HTS 2804.61.00, 3818.00.00; 25% -> 50%",https://www.federalregister.gov/documents/2024/12/16/2024-29462/notice-of-modification-chinas-acts-policies-and-practices-related-to-technology-transfer,high
2025-02-04,ieepa_china_fentanyl,"China and Hong Kong, all goods, ~$440B",10,"EO 14195; all HTS chapters; de minimis briefly removed then restored Feb 5",https://www.congress.gov/crs_external_products/R/PDF/R48549/R48549.12.pdf,high
2025-03-04,ieepa_canada,"Canada, all goods, ~$410B",25,"EO 14193; energy and energy resources at +10pp only",https://www.congress.gov/crs_external_products/R/PDF/R48549/R48549.12.pdf,high
2025-03-04,ieepa_mexico,"Mexico, all goods, ~$505B",25,"EO 14194; delayed 30 days from the Feb 4 original date",https://www.congress.gov/crs_external_products/R/PDF/R48549/R48549.12.pdf,high
2025-03-04,ieepa_china_increase,"China and Hong Kong, all goods, ~$440B",10,"EO 14228; 10% -> 20%",https://www.congress.gov/crs_external_products/R/PDF/R48549/R48549.12.pdf,high
2025-03-07,ieepa_usmca_exemption,"Canada and Mexico USMCA-originating goods, ~$600B",-25,"EOs of Mar 6, effective Mar 7; USMCA-originating goods -> 0; Canadian potash outside USMCA 25% -> 10%",https://content.govdelivery.com/accounts/USDHSCBP/bulletins/3d5afad,high
2025-03-12,s232_metals_2025,"Global, ~$150B; aluminum rate raised and all steel/aluminum country exemptions, quotas, exclusions and GAEs revoked",15,"Proc 10895/10896; aluminum 10% -> 25%; previously exempt origins (CA, MX, EU, UK, JP, KR, BR, AR, AU) 0 -> 25pp; derivative lists expanded",https://www.govinfo.gov/content/pkg/FR-2025-03-05/html/2025-03596.htm,high
2025-04-03,s232_autos,"Global, ~$220B, passenger vehicles and light trucks",25,"Proc 10908; HTS 8703, 8704.21/8704.31",https://www.federalregister.gov/documents/2025/04/03/2025-05930/adjusting-imports-of-automobiles-and-automobile-parts-into-the-united-states,high
2025-04-05,ieepa_baseline,"Global ex Canada/Mexico, universal reciprocal baseline, ~$2200B",10,"EO 14257; Annex II excludes Section 232 goods, pharma, semiconductors, copper, lumber, critical minerals, energy, Column 2 goods",https://www.govinfo.gov/content/pkg/FR-2025-04-07/html/2025-06063.htm,high
2025-04-05,ieepa_electronics_exclusion,"Global, ~$390B; smartphones, computers, ADP equipment, semiconductor mfg equipment, flat panel modules",-10,"retroactive to Apr 5, CBP guidance Apr 11; HTS 8471, 8473, 8486, 8517, 8524; report 9903.01.32; removal is -125pp for China",https://content.govdelivery.com/accounts/USDHSCBP/bulletins/3db9e55,high
2025-04-09,ieepa_reciprocal_annex1,"~57 trading partners, country-specific reciprocal rates, ~$1900B",varies,"EO 14257 Annex I; total rates 11-50%, so change from the 10% baseline is +1 to +40pp; in-transit carve-out",https://www.govinfo.gov/content/pkg/FR-2025-04-07/html/2025-06063.htm,high
2025-04-09,ieepa_china_84,"China, Hong Kong, Macau reciprocal rate, ~$440B",50,"EO 14259; 34% -> 84%; in force for one day only",https://public-inspection.federalregister.gov/2025-06378.pdf,high
2025-04-10,ieepa_china_125,"China, Hong Kong, Macau reciprocal rate, ~$440B",41,"EO 14266; 84% -> 125%",https://www.presidency.ucsb.edu/documents/executive-order-14266-modifying-reciprocal-tariff-rates-reflect-trading-partner,high
2025-04-10,ieepa_reciprocal_pause,"All Annex I partners except China, ~$1500B; 90-day suspension of country-specific rates",varies,"EO 14266; country rates revert to the 10% baseline; reverses the Apr 9 Annex I increases",https://www.presidency.ucsb.edu/documents/executive-order-14266-modifying-reciprocal-tariff-rates-reflect-trading-partner,high
2025-05-02,ieepa_de_minimis_china,"China and Hong Kong shipments valued <= $800, ~$50B",120,"EO 14256; postal channel 120% ad valorem or $100 per item; ends duty-free de minimis for China",https://www.govinfo.gov/content/pkg/FR-2025-04-28/html/2025-07325.htm,high
2025-05-03,s232_auto_parts,"Global, ~$200B, automobile parts",25,"Proc 10908; HTS 8708, engines 8407/8408; import adjustment offset program for US assemblers",https://www.federalregister.gov/documents/2025/04/03/2025-05930/adjusting-imports-of-automobiles-and-automobile-parts-into-the-united-states,high
2025-05-14,ieepa_china_geneva,"China, ~$440B, reciprocal component only",-115,"EO 14298; 125% -> 10% for 90 days after the Geneva joint statement; the 20% fentanyl IEEPA rate was unchanged",https://www.whitehouse.gov/presidential-actions/2025/05/modifying-reciprocal-tariff-rates-to-reflect-discussions-with-the-peoples-republic-of-china/,high
2025-05-14,ieepa_de_minimis_china_cut,"China and Hong Kong postal shipments, ~$50B",-66,"EO 14298; 120% -> 54% ad valorem; per-item held at $100 and the scheduled June 1 rise to $200 cancelled",https://www.whitehouse.gov/presidential-actions/2025/05/modifying-reciprocal-tariff-rates-to-reflect-discussions-with-the-peoples-republic-of-china/,high
2025-05-28,cit_vos_selections,"Court ruling; CIT holds IEEPA trafficking and reciprocal tariffs unlawful; universal injunction",0,"V.O.S. Selections v. United States; Federal Circuit administratively stayed the injunction May 29 2025 so collection never stopped",https://www.congress.gov/crs_external_products/LSB/PDF/LSB11332/LSB11332.4.pdf,high
2025-06-04,s232_metals_50,"Global except UK, ~$150B; steel, aluminum and derivatives",25,"Proc 10947; 25% -> 50%; UK held at 25%; derivatives outside ch. 72/73/76 taxed on metal content only",https://www.federalregister.gov/documents/2025/06/09/2025-10524/adjusting-imports-of-aluminum-and-steel-into-the-united-states,high
2025-06-30,s232_uk_autos,"UK autos under a 100,000-unit TRQ, and UK auto parts, ~$10B",-15,"EO 14309; 25% -> 10% total including the 2.5% MFN rate; over-quota stays 25%",https://www.federalregister.gov/documents/2025/06/30/2025-12060/imports-of-automobiles-automobile-parts-civil-aircraft-and-civil-aircraft-parts-from-the-united,high
2025-08-01,ieepa_canada_35,"Canada, non-USMCA-originating goods, ~$150B",10,"EO 14325; 25% -> 35%; transshipped goods 40%; energy and potash held at 10%; USMCA goods stay 0",https://www.whitehouse.gov/presidential-actions/2025/07/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border-9350/,high
2025-08-01,s232_copper,"Global, ~$25B, semi-finished copper and copper-intensive derivatives",50,"Proc 10962; HTS ch. 74 and parts of 85; refined cathode and ore excluded at this stage",https://www.govinfo.gov/content/pkg/FR-2025-08-05/pdf/2025-14893.pdf,high
2025-08-01,s232_eu_autos,"EU autos and auto parts, ~$60B",-10,"25% -> 15% total including MFN; retroactive to Aug 1, implemented by an FR notice effective Sept 25 2025",https://www.federalregister.gov/documents/2025/09/25/2025-18660/implementing-certain-tariff-related-elements-of-the-us-eu-framework-on-an-agreement-on-reciprocal,high
2025-08-06,ieepa_brazil,"Brazil, ~$43B, certain goods",40,"EO 14323; Annex I carve-outs incl. orange juice, energy, fertilizers, wood products, tin ore; Section 232 goods excluded",https://public-inspection.federalregister.gov/2025-14896.pdf,high
2025-08-07,ieepa_reciprocal_v2,"~90 trading partners, ~$2200B, revised country-specific reciprocal rates",varies,"EO 14326; 10% flat -> country-specific 10-41%; transshipment 40%; in-transit goods kept old rates until Oct 5 2025",https://www.whitehouse.gov/presidential-actions/2025/07/further-modifying-the-reciprocal-tariff-rates/,high
2025-08-18,s232_derivative_inclusions,"Global, ~$150B; 407 new HTS subheadings added as steel and aluminum derivatives",50,"BIS inclusions process; wind turbines and parts, mobile cranes, bulldozers, railcars, furniture, pumps, compressors; duty on metal content",https://www.federalregister.gov/documents/2025/08/19/2025-15819/adoption-and-procedures-of-the-section-232-steel-and-aluminum-tariff-inclusions-process,high
2025-08-27,ieepa_india_russian_oil,"India, ~$90B, most goods",25,"EO 14329; stacks on the 25% reciprocal rate for a 50% total; Section 232 goods and EO 14257 Annex II excluded",https://public-inspection.federalregister.gov/2025-16419.pdf,high
2025-08-29,ieepa_de_minimis_global,"Global, ~$65B; all shipments <= $800, all countries, all modes",varies,"EO 14324; postal ad valorem at the country IEEPA rate or a specific duty of $80/$160/$200 per item",https://public-inspection.federalregister.gov/2025-16802.pdf,high
2025-08-29,cafc_vos_en_banc,"Court ruling; Federal Circuit en banc affirms 7-4 that IEEPA does not authorize the tariffs",0,"declaratory judgment affirmed, universal injunction vacated and remanded; mandate withheld, so collection continued",https://www.cafc.uscourts.gov/opinions-orders/25-1812.OPINION.8-29-2025_2566151.pdf,high
2025-09-16,s232_japan_autos,"Japan autos and auto parts, ~$55B",-10,"EO 14345; 25% -> 15% total; if MFN < 15%, Section 232 tops up to 15%",https://www.whitehouse.gov/presidential-actions/2025/09/implementing-the-united-states-japan-agreement/,high
2025-10-14,s232_lumber,"Global, ~$20B, softwood timber and lumber",10,"Proc 10976; HTS 4403, 4407, 4409; UK capped at 10%, EU and Japan at 15%",https://www.federalregister.gov/documents/2025/10/06/2025-19482/adjusting-imports-of-timber-lumber-and-their-derivative-products-into-the-united-states,high
2025-10-14,s232_furniture_cabinets,"Global, ~$35B, upholstered wooden furniture and kitchen cabinets/vanities",25,"Proc 10976; HTS 9401.61/9401.71, 9403.40/9403.60",https://www.federalregister.gov/documents/2025/10/06/2025-19482/adjusting-imports-of-timber-lumber-and-their-derivative-products-into-the-united-states,high
2025-11-01,s232_trucks,"Global, ~$45B, medium and heavy-duty vehicles (Classes 4-8) and listed parts; buses at 10%",25,"Proc 10984; HTS 8701-8704 GVWR >= 14001 lbs, buses 8702 at +10pp; vehicles over 25 years old excluded; partial USMCA relief",https://www.govinfo.gov/content/pkg/FR-2025-10-22/pdf/2025-19639.pdf,high
2025-11-01,s232_korea_autos,"Korea autos and auto parts (and timber/lumber), ~$45B",-10,"25% -> 15% total; confirmed retroactive to Nov 1 2025",https://www.congress.gov/crs-product/IN12569,high
2025-11-10,ieepa_china_fentanyl_cut,"China and Hong Kong, all goods, ~$440B",-10,"EO 14357; fentanyl IEEPA rate 20% -> 10%; companion EO 14358 extended the reciprocal suspension to Nov 10 2026",https://www.govinfo.gov/content/pkg/FR-2025-11-07/pdf/2025-19825.pdf,high
2025-11-13,ieepa_ag_exemption,"Global, ~$90B; 237 HTS lines - coffee, tea, bananas, oranges, tomatoes, beef, tropical fruit, juices, cocoa, spices, certain fertilizers",varies,"EO 14360, signed Nov 14 but retroactive to Nov 13; reciprocal rate -> 0 with refunds",https://www.govinfo.gov/content/pkg/FR-2025-11-25/html/2025-21203.htm,high
2025-12-31,s232_wood_step_up_delayed,"Global; the scheduled Jan 1 2026 wood increase was postponed a full year",0,"cabinets/vanities 25% -> 50% and upholstered furniture 25% -> 30% pushed to Jan 1 2027; NO Jan 1 2026 step-up occurred",https://www.federalregister.gov/documents/2026/01/09/2026-00327/amendments-to-adjusting-imports-of-timber-lumber-and-their-derivative-products-into-the-united,high
2026-01-01,s301_4yr_facemasks_2026,"China, facemasks",25,"HTS 6307.90, 9020; 25% -> 50%",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2026-01-01,s301_4yr_gloves_2026,"China, rubber medical and surgical gloves",50,"HTS 4015.12; 50% -> 100%",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2026-01-01,s301_4yr_nonev_batteries,"China, non-EV lithium-ion batteries",17.5,"HTS 8507.60; 7.5% -> 25%",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2026-01-01,s301_4yr_graphite,"China, natural graphite, 3 subheadings",25,"HTS 2504; 0% -> 25%",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2026-01-01,s301_4yr_magnets,"China, permanent magnets",25,"HTS 8505.11; 0% -> 25%",https://www.govinfo.gov/content/pkg/FR-2024-09-18/html/2024-21217.htm,high
2026-01-14,s232_critical_minerals_no_action,"Processed critical minerals and derivative products - NO tariff imposed",0,"Proc 11001; directs 180-day negotiations with price floors and tariffs held in reserve; no follow-on action as of Aug 24 2026",https://www.govinfo.gov/content/pkg/FR-2026-01-20/pdf/2026-01045.pdf,high
2026-01-15,s232_semiconductors,"Global, ~$85B; advanced logic ICs and articles containing them above defined performance thresholds",25,"Proc 11002; HTS 8471.50, 8471.80, 8473.30 under 9903.79.01; broad end-use exemptions (US data centers, R&D, startups, consumer, public sector); the 100% announced Aug 2025 never took effect",https://www.govinfo.gov/content/pkg/FR-2026-01-20/pdf/2026-01052.pdf,high
2026-02-08,s201_solar_expire,"Section 201 CSPV safeguard terminates at the 8-year statutory maximum, ~$10B",-14,"HTS 8541.42/8541.43; final-year rate was 14%; cannot be renewed; the -14pp is inferred from the 2022 extension step-down, not read off a primary source",https://ustr.gov/issue-areas/enforcement/section-201-investigations/investigation-no-ta-201-75-cspv-cells,medium
2026-02-20,scotus_ieepa_ruling,"Court ruling; Supreme Court holds 6-3 (Roberts) that IEEPA does not authorize tariffs",0,"Learning Resources Inc. v. Trump, consolidated with Trump v. V.O.S. Selections; refund methodology left to the CIT and CBP",https://www.supremecourt.gov/opinions/25pdf/24-1287_4gcj.pdf,high
2026-02-24,ieepa_termination,"Global, ~$2200B; all IEEPA tariffs terminated - Canada, Mexico, China fentanyl, reciprocal, Brazil, India, Venezuela, Cuba, Iran",varies,"EO 14389; every IEEPA rate -> 0 at 12:00am ET; ACE HTS codes deactivated; ~$166B became refundable across ~330,000 importers",https://www.govinfo.gov/content/pkg/FR-2026-02-25/html/2026-03832.htm,high
2026-02-24,s122_surcharge,"Global, ~$1800B; temporary import surcharge under Section 122 of the Trade Act of 1974",10,"Proc 11012; HTS 9903.03.01; exempts USMCA-qualifying goods, Section 232 goods, critical minerals, energy, pharma, vehicles, aerospace, CAFTA-DR textiles; 150-day statutory cap",https://www.govinfo.gov/content/pkg/FR-2026-02-25/html/2026-03824.htm,high
2026-03-04,cit_ieepa_refund_order,"Court ruling; CIT orders nationwide IEEPA refunds with interest",0,"CBP built the CAPE declaration process in ACE; Phase 1 Apr 20 2026, Phase 2 June 29 2026, Phase 3 (liquidated entries) July 2026; reported by law-firm summaries, order text not read",https://www.hklaw.com/en/insights/publications/2026/03/court-of-international-trade-orders-nationwide-tariff-refunds,medium
2026-04-06,s232_metals_restructure,"Global, ~$180B; steel, aluminum and copper regimes restructured",varies,"Proc of Apr 2 2026; duty now assessed on FULL customs value not metal content; Annex I-A 50%, Annex I-B 25%, US-origin metal 10%, Annex III 15% cap through 2027; inclusions process ended; goods under 15% metal by weight excluded",https://www.federalregister.gov/documents/2026/04/09/2026-06960/strengthening-actions-taken-to-adjust-imports-of-aluminum-steel-and-copper-into-the-united-states,high
2026-05-07,cit_s122_invalid,"Court ruling; CIT holds Proclamation 11012 invalid 2-1; injunction limited to three plaintiffs",0,"Slip Op. 26-47, Oregon v. United States / Burlap and Barrel v. United States; Section 122 requires balance-of-payments not trade-deficit metrics",https://www.cit.uscourts.gov/sites/cit/files/26-47.pdf,high
2026-05-12,cafc_s122_stay,"Court ruling; Federal Circuit administratively stays the CIT Section 122 judgment; full stay pending appeal granted June 11 2026",0,"the 10% surcharge was collected uninterrupted for its full 150 days",https://reason.com/wp-content/uploads/2026/06/Federal-Circuit-Section-122-Stay-Order-1.pdf,high
2026-06-08,s232_metals_further,"Global, ~$180B; further modification of the steel, aluminum and copper regimes",-10,"Proc of June 1 2026; agricultural and capital equipment 25% -> 15%; new 10% rate for at least 85% US-origin metal by weight; Annex I-C 15% for Argentina, Japan, UK, EU; rate detail from law-firm summaries",https://www.federalregister.gov/documents/2026/06/04/2026-11314/further-adjusting-the-tariff-regimes-for-imports-of-aluminum-steel-and-copper-into-the-united-states,medium
2026-07-22,s301_brazil,"Brazil, ~$43B, broad product list",25,"USTR Section 301 action on digital trade, e-payments, preferential tariffs, IP, ethanol, deforestation; in-transit exemption if entered by July 29 2026; sourced from a tax alert, not the USTR notice",https://taxnews.ey.com/news/2026-1530-ustr-issues-notice-of-action-imposing-25-percent-section-301-tariffs-on-imports-from-brazil-effective-22-july-2026,medium
2026-07-24,s122_expiry,"Global, ~$1800B; Section 122 surcharge expires at the 150-day statutory limit",-10,"Proc 11012 sunset at 12:01am EDT; replaced the same minute by the Section 301 forced-labor tariffs",https://www.govinfo.gov/content/pkg/FR-2026-02-25/html/2026-03824.htm,high
2026-07-24,s301_forced_labor,"60 economies, ~$3100B (~99.4% of US imports); failure to prohibit or effectively enforce bans on forced-labor goods",10,"10% for 17 economies with a prohibition or reciprocal-trade commitment, 12.5% for the rest; EU/Japan/Korea/Taiwan/Switzerland netted against MFN; Section 232 goods exempt; in-transit relief to July 28",https://www.federalregister.gov/documents/2026/07/28/2026-15181/notice-of-actions-in-section-301-investigations-of-acts-policies-and-practices-of-various-economies,high
2026-07-31,s232_pharma_phase1,"Global, ~$120B; patented pharmaceuticals and APIs; the 17 companies named in Annex III",100,"Proc 11020 (signed Apr 2 2026); 20% for onshoring-agreement companies, 0% with HHS MFN pricing through Jan 2029; EU/JP/KR/CH 15%, UK 10%; generics and biosimilars exempt",https://www.whitehouse.gov/presidential-actions/2026/04/adjusting-imports-of-pharmaceuticals-and-pharmaceutical-ingredients-into-the-united-states/,high
2026-08-19,s338_canada,"Canada, ~$60B; motor vehicles, alcoholic beverages, dairy, wine, cement, hockey sticks",50,"first-ever use of Section 338 of the Tariff Act of 1930; three proclamations signed July 20 2026; dates and rate consistent across two law firms but not located in the Federal Register",https://www.hklaw.com/en/insights/publications/2026/07/50-percent-opening-bid-canadian-imports-subject-to-section-338-tariffs,medium
2026-09-03,s232_drones,"Global, ~$5B; UAS over 25kg MTOW, thermal-imaging UAS, docking stations and critical components at 100%; UAS 25kg and under at 25%",100,"proclamation signed Aug 13 2026; Annex III components 25% from Feb 9 2027; FUTURE-DATED relative to 2026-08-24",https://kpmg.com/us/en/taxnewsflash/news/2026/08/united-states-section-232-tariffs-drones-components.html,medium
2026-09-29,s232_pharma_phase2,"Global, ~$120B; patented pharmaceuticals and APIs; all companies not in Annex III",100,"Proc 11020 phase 2; same tier structure; FUTURE-DATED relative to 2026-08-24",https://www.whitehouse.gov/presidential-actions/2026/04/adjusting-imports-of-pharmaceuticals-and-pharmaceutical-ingredients-into-the-united-states/,high
2026-12-04,s232_polysilicon,"Global, ~$15B; polysilicon, ingots, wafers, solar cells and modules",15,"proclamation signed Aug 6 2026; 15% on derivatives plus minimum import prices ($21/kg polysilicon, $100/kg ingots/wafers, $0.22/W cells, $0.38/W modules); raw polysilicon MIP-only; FUTURE-DATED",https://www.govinfo.gov/content/pkg/FR-2026-08-11/pdf/2026-16400.pdf,high
