city,state,fiscal_year,cityonly_police_fire_pct_general,fisc_police_fire_pct_general,fisc_police_usd,fisc_fire_usd,fisc_general_expenditure_usd,census_flags
Las Cruces,NM,2012,25.89,14.91,35436366,12728975,322984805,R/R
Las Cruces,NM,2017,32.8,16.52,36563216,15357773,314239146,R/IR
Las Cruces,NM,2022,27.58,15.88,45814759,21803964,425876074,R/R
Las Cruces,NM,2023,31.22,17.72,54610310,32603051,492057836,R/R
Las Vegas,NV,2012,17.53,11.63,186746737,167384207,3044824118,R/R
Las Vegas,NV,2017,22.89,12.83,220070934,184533972,3154059203,R/R
Las Vegas,NV,2022,20.2,12.06,266472211,213636070,3979696511,R/R
Las Vegas,NV,2023,18.49,12.31,267434457,230540152,4046079813,R/R
Reno,NV,2012,33.95,13.63,73257707,58554829,967326872,R/R
Reno,NV,2017,34.03,13.7,94308627,61587995,1138211394,R/R
Reno,NV,2022,38.64,15.97,139498512,90882447,1442179773,R/R
Reno,NV,2023,39.33,16.78,168788640,98623762,1593713863,R/R
Albany,NY,2012,29.89,13.31,53800223,33469117,655455262,R/R
Albany,NY,2017,50.24,16.61,65048603,34533152,599431193,R/R
Albany,NY,2022,53.91,16.26,77043170,39394978,716163438,R/R
Albany,NY,2023,51.54,16.35,71195712,43026432,698521347,R/R
Buffalo,NY,2012,8.97,7.27,86970258,59071802,2008409851,R/R
Buffalo,NY,2017,10.3,8.38,103983943,67359224,2043510883,R/R
Buffalo,NY,2022,10.14,8.25,112028550,71976436,2229986469,R/R
Buffalo,NY,2023,9.54,8.06,122251633,74555590,2441523116,R/R
New York,NY,2012,9.29,9.06,5077103204,1842660512,76385010543,R/R
New York,NY,2017,8.34,8.13,5698594160,2155401744,96590775860,R/R
New York,NY,2022,7.06,6.92,5882030803,2572672943,122129092006,AR/AR
New York,NY,2023,7.5,7.36,6315015911,2623088464,121441199558,IR/IR
Rochester,NY,2012,10.37,9.38,99656735,46022012,1553408633,R/R
Rochester,NY,2017,9.76,8.9,112699478,52564569,1856571739,R/R
Rochester,NY,2022,10.6,9.81,124929081,64069199,1926975787,R/R
Rochester,NY,2023,10.62,9.99,140657783,62998064,2037782698,R/R
Syracuse,NY,2012,8.84,7.45,56040061,31108819,1170017224,R/R
Syracuse,NY,2017,10.96,8.82,60292762,35938299,1091161102,R/R
Syracuse,NY,2022,0.0,1.52,13126901,0,861763509,-/-
