city,state,fiscal_year,fy_end_date,framing,police_usd,fire_usd,public_safety_usd,denominator_usd,denominator_label,pensions_in_line,fire_includes_ems,actual_or_adopted,source_url,page,retrieved
Nashville-Davidson,TN,2022,2022-06-30,acfr_general_fund_by_function,351730198,156953762,,1117624558,GSD General Fund total expenditures (GAAP),no,yes,actual,https://www.nashville.gov/sites/default/files/2023-06/2022_Annual_Comprehensive_Financial_Report_Final_Published_06062023.pdf,PDF p.52 (Exhibit B-10),2026-09-14
Nashville-Davidson,TN,2022,2022-06-30,acfr_all_governmental_funds_by_function,356905001,157227244,,3465612699,"total governmental funds expenditures (GAAP, includes schools)",no,yes,actual,https://www.nashville.gov/sites/default/files/2023-06/2022_Annual_Comprehensive_Financial_Report_Final_Published_06062023.pdf,PDF p.52-53 (Exhibit B-10/B-11),2026-09-14
Virginia Beach,VA,2022,2022-06-30,acfr_statement_of_activities_governmental,115206986,72063215,,1409019651,total governmental activities expenses,yes,no,actual,https://s3.us-east-1.amazonaws.com/virginia-beach-departments-docs/finance/Financials/AnnualReports/Fiscal-Year-2022-Annual-Report.pdf,PDF p.72 (Exhibit 2),2026-09-14
Virginia Beach,VA,2022,2022-06-30,acfr_general_fund_by_department,109068186,65593948,,1113635883,General Fund total expenditures (GAAP),yes,no,actual,https://s3.us-east-1.amazonaws.com/virginia-beach-departments-docs/finance/Financials/AnnualReports/Fiscal-Year-2022-Annual-Report.pdf,PDF p.76 (Exhibit 4),2026-09-14
Virginia Beach,VA,2022,2022-06-30,acfr_all_governmental_funds_by_department,109936071,72785714,,1616285220,total governmental funds expenditures (GAAP),yes,no,actual,https://s3.us-east-1.amazonaws.com/virginia-beach-departments-docs/finance/Financials/AnnualReports/Fiscal-Year-2022-Annual-Report.pdf,PDF p.76 (Exhibit 4),2026-09-14
Denver,CO,2022,2021-12-31,acfr_statement_of_activities_governmental,,,805223000,2607226000,total governmental activities expenses,yes,no,actual,https://denvergov.org/files/assets/public/v/2/finance/documents/financial-reports/acfr/acfr_denver2021.pdf,PDF p.46 (printed 36),2026-09-14
Denver,CO,2022,2021-12-31,acfr_general_fund_by_function,,,574704000,1300691000,General Fund total expenditures (GAAP),yes,no,actual,https://denvergov.org/files/assets/public/v/2/finance/documents/financial-reports/acfr/acfr_denver2021.pdf,PDF p.50 (printed 40),2026-09-14
Denver,CO,2022,2021-12-31,acfr_all_governmental_funds_by_function,,,670637000,2644862000,total governmental funds expenditures (GAAP),yes,no,actual,https://denvergov.org/files/assets/public/v/2/finance/documents/financial-reports/acfr/acfr_denver2021.pdf,PDF p.50 (printed 40),2026-09-14
Denver,CO,2022,2021-12-31,general_fund_budgetary_by_department,240863000,108711000,575296000,1300690000,General Fund total budget-basis expenditures,yes,no,actual,https://denvergov.org/files/assets/public/v/2/finance/documents/financial-reports/acfr/acfr_denver2021.pdf,PDF p.188-189 (printed 178-179),2026-09-14
Seattle,WA,2022,2021-12-31,acfr_statement_of_activities_governmental,,,536517000,2357850000,total governmental activities expenses,yes,yes,actual,https://www.seattle.gov/documents/Departments/CityFinance/FinancialServices/CAFR/comprehensive-annual-financial-report-2021.pdf,"PDF p.45 (printed 26, Exhibit B-2)",2026-09-14
Seattle,WA,2022,2021-12-31,acfr_general_fund_by_function,,,777206000,1720046000,"General Fund total expenditures (GAAP); public safety = 774,534k current + 2,672k capital outlay",yes,yes,actual,https://www.seattle.gov/documents/Departments/CityFinance/FinancialServices/CAFR/comprehensive-annual-financial-report-2021.pdf,"PDF p.51 (printed 32, Exhibit B-4)",2026-09-14
Seattle,WA,2022,2021-12-31,acfr_all_governmental_funds_by_function,,,781573000,2948156000,"total governmental funds expenditures (GAAP); public safety = 778,683k current + 2,890k capital outlay",yes,yes,actual,https://www.seattle.gov/documents/Departments/CityFinance/FinancialServices/CAFR/comprehensive-annual-financial-report-2021.pdf,"PDF p.51 (printed 32, Exhibit B-4)",2026-09-14
Seattle,WA,2022,2021-12-31,general_fund_budgetary_by_department,359546000,272706000,,1974922000,"General Fund total expenditures and encumbrances, budget basis",partly,yes,actual,https://www.seattle.gov/documents/Departments/CityFinance/FinancialServices/CAFR/comprehensive-annual-financial-report-2021.pdf,"PDF p.148-152 (printed 129-133, Schedule C-1)",2026-09-14
