city,state,fiscal_year,fy_end_date,framing,police_usd,fire_usd,public_safety_usd,denominator_usd,denominator_label,pensions_in_line,fire_includes_ems,actual_or_adopted,source_url,page,retrieved
Charlotte,NC,2022,2022-06-30,acfr_statement_of_activities_governmental,,,500627000,1019221000,total governmental activities expenses,yes,no,actual,https://www.charlottenc.gov/files/sharedassets/city/v/1/city-government/departments/documents/finance/publications/2023/cacfr/acfr-2022-web-final.pdf,PDF p.48 (printed 22),2026-09-14
Charlotte,NC,2022,2022-06-30,acfr_general_fund_by_function,,,455788000,736376000,General Fund total expenditures (GAAP),yes,no,actual,https://www.charlottenc.gov/files/sharedassets/city/v/1/city-government/departments/documents/finance/publications/2023/cacfr/acfr-2022-web-final.pdf,PDF p.52 (printed 26),2026-09-14
Charlotte,NC,2022,2022-06-30,acfr_all_governmental_funds_by_function,,,470984000,1389405000,total governmental funds expenditures (GAAP),yes,no,actual,https://www.charlottenc.gov/files/sharedassets/city/v/1/city-government/departments/documents/finance/publications/2023/cacfr/acfr-2022-web-final.pdf,PDF p.52 (printed 26),2026-09-14
Charlotte,NC,2022,2022-06-30,general_fund_budgetary_by_function,,,457539000,769566000,"General Fund total charges to appropriations, budgetary basis (includes 32,597k transfers out)",yes,no,actual,https://www.charlottenc.gov/files/sharedassets/city/v/1/city-government/departments/documents/finance/publications/2023/cacfr/acfr-2022-web-final.pdf,PDF p.54 (printed 28),2026-09-14
Charlotte,NC,2022,2022-06-30,general_fund_adopted_by_department,300877459,144575666,,750720000,"General Fund total adopted expenditures FY2022 (includes 58,187,804 non-departmental)",yes,no,adopted,https://www.charlottenc.gov/files/sharedassets/city/v/1/city-government/documents/fy_2022_adopted_budget.pdf,FY2022 Adopted Budget PDF p.59 (printed 19),2026-09-14
Indianapolis,IN,2022,2021-12-31,acfr_statement_of_activities_governmental,,,480821000,1082029000,total governmental activities expenses,yes,no,actual,https://www.in.gov/sboa/WebReports/B59599.pdf,PDF p.70 (printed 27),2026-09-14
Indianapolis,IN,2022,2021-12-31,acfr_general_fund_by_function,,,507373000,794012000,General Fund total expenditures (GAAP),yes,no,actual,https://www.in.gov/sboa/WebReports/B59599.pdf,PDF p.73 (printed 30),2026-09-14
Indianapolis,IN,2022,2021-12-31,acfr_all_governmental_funds_by_function,,,531564000,1347896000,total governmental funds expenditures (GAAP),yes,no,actual,https://www.in.gov/sboa/WebReports/B59599.pdf,PDF p.73 (printed 30),2026-09-14
Indianapolis,IN,2022,2021-12-31,acfr_general_fund_subfund_gaap,270450000,195005000,507373000,794012000,General Fund total expenditures (GAAP); police/fire = public safety expenditures of the Metropolitan Police and Fire subfunds of the General Fund,yes,no,actual,https://www.in.gov/sboa/WebReports/B59599.pdf,PDF p.163-164 (printed 114-115),2026-09-14
Indianapolis,IN,2022,2021-12-31,general_fund_budgetary_by_department,245906000,168925000,458762000,834885000,"General Fund total expenditures, budgetary basis; police/fire = public safety expenditures of the Metropolitan Police and Fire subfunds",yes,no,actual,https://www.in.gov/sboa/WebReports/B59599.pdf,PDF p.166-167 (printed 117-118); fund total PDF p.140 (printed 95),2026-09-14
Jacksonville,FL,2022,2021-09-30,acfr_statement_of_activities_governmental,,,1161203000,1934545000,total governmental activities expenses,yes,yes,actual,https://www.jacksonville.gov/getContentAsset/7ac7f919-94de-4170-a8b8-b105d54cb1eb/135b97c9-84fa-4e82-b956-0fbccec4aa1f/jacksonville-2021-ACFR.pdf?language=en,PDF p.58 (printed 27),2026-09-14
Jacksonville,FL,2022,2021-09-30,acfr_general_fund_by_function,,,779318000,1184133000,General Fund total expenditures (GAAP),yes,yes,actual,https://www.jacksonville.gov/getContentAsset/7ac7f919-94de-4170-a8b8-b105d54cb1eb/135b97c9-84fa-4e82-b956-0fbccec4aa1f/jacksonville-2021-ACFR.pdf?language=en,PDF p.67 (printed 36),2026-09-14
Jacksonville,FL,2022,2021-09-30,acfr_all_governmental_funds_by_function,,,880594000,1950277000,total governmental funds expenditures (GAAP),yes,yes,actual,https://www.jacksonville.gov/getContentAsset/7ac7f919-94de-4170-a8b8-b105d54cb1eb/135b97c9-84fa-4e82-b956-0fbccec4aa1f/jacksonville-2021-ACFR.pdf?language=en,PDF p.67-68 (printed 36-37),2026-09-14
Jacksonville,FL,2022,2021-09-30,general_fund_budgetary_by_department,484725000,287609000,,1184133000,"General Fund total expenditures, actual (GAAP column of the budgetary schedule); police = Office of the Sheriff, fire = Fire/Rescue; budgetary basis adds encumbrances (Sheriff 8,945k, Fire 914k, fund 1,210,969k)",yes,yes,actual,https://www.jacksonville.gov/getContentAsset/7ac7f919-94de-4170-a8b8-b105d54cb1eb/135b97c9-84fa-4e82-b956-0fbccec4aa1f/jacksonville-2021-ACFR.pdf?language=en,PDF p.195 (printed 164),2026-09-14
Detroit,MI,2022,2022-06-30,acfr_statement_of_activities_governmental,,,593992170,1741359983,total governmental activities expenses (function = Public protection),partly,yes,actual,https://detroitmi.gov/sites/detroitmi.localhost/files/2022-12/City%20of%20Detroit%20FY22%20ACFR%20FINAL%2012.22.2022.pdf,PDF p.49 (printed 21),2026-09-14
Detroit,MI,2022,2022-06-30,acfr_general_fund_by_function,,,503652166,981932844,General Fund total expenditures (GAAP) (function = Public protection),partly,yes,actual,https://detroitmi.gov/sites/detroitmi.localhost/files/2022-12/City%20of%20Detroit%20FY22%20ACFR%20FINAL%2012.22.2022.pdf,PDF p.54 (printed 26),2026-09-14
Detroit,MI,2022,2022-06-30,acfr_all_governmental_funds_by_function,,,546197997,1603125255,total governmental funds expenditures (GAAP) (function = Public protection),partly,yes,actual,https://detroitmi.gov/sites/detroitmi.localhost/files/2022-12/City%20of%20Detroit%20FY22%20ACFR%20FINAL%2012.22.2022.pdf,PDF p.54 (printed 26),2026-09-14
Detroit,MI,2022,2022-06-30,general_fund_by_department_four_year_plan,322030865,136894832,,1207859359,"General Fund total expenditures, budgetary basis (ACFR budgetary schedule); police/fire = FY2022 actual General Fund department totals from the FY2024-27 Four-Year Financial Plan department budget summaries",partly,yes,actual,https://detroitmi.gov/sites/detroitmi.localhost/files/2023-03/FY%202024-2027%20Mayor%27s%20Proposed%20Four-Year%20Financial%20Plan%20Section%20B%20%203.2.23.pdf,"Section B PDF p.125 (B24-4, Fire) and B37-7 (Police); denominator ACFR PDF p.153 (printed 125)",2026-09-14
Detroit,MI,2022,2022-06-30,all_funds_by_department_four_year_plan,337163285,137096085,,,not captured - all-funds city total is not on the departmental pages,partly,yes,actual,https://detroitmi.gov/sites/detroitmi.localhost/files/2023-03/FY%202024-2027%20Mayor%27s%20Proposed%20Four-Year%20Financial%20Plan%20Section%20B%20%203.2.23.pdf,"Section B PDF p.125 (B24-4, Fire) and B37-7 (Police)",2026-09-14
Detroit,MI,2022,2022-06-30,general_fund_budgetary_appropriation_lines,270816113,133838476,,1207859359,"General Fund total expenditures, budgetary basis; police/fire = sums of ACFR appropriation lines labelled Police/Fire (UNDERSTATES police by ~51m vs the department total - see notes)",partly,yes,actual,https://detroitmi.gov/sites/detroitmi.localhost/files/2022-12/City%20of%20Detroit%20FY22%20ACFR%20FINAL%2012.22.2022.pdf,PDF p.152-153 (printed 124-125),2026-09-14
Boston,MA,2022,2022-06-30,acfr_statement_of_activities_governmental,,,1172308000,4327037000,"total governmental activities expenses (includes schools 2,123,695k)",yes,no,actual,https://www.boston.gov/sites/default/files/file/2023/03/2022-2023-ACFR_Final.pdf,PDF p.44 (printed 21),2026-09-14
Boston,MA,2022,2022-06-30,acfr_general_fund_by_function,,,797386000,3977082000,"General Fund total expenditures (GAAP); retirement costs 502,585k and other employee benefits 258,112k are separate lines",no,no,actual,https://www.boston.gov/sites/default/files/file/2023/03/2022-2023-ACFR_Final.pdf,PDF p.48 (printed 25),2026-09-14
Boston,MA,2022,2022-06-30,acfr_all_governmental_funds_by_function,,,826121000,4882523000,"total governmental funds expenditures (GAAP, includes schools 1,509,522k)",no,no,actual,https://www.boston.gov/sites/default/files/file/2023/03/2022-2023-ACFR_Final.pdf,PDF p.48 (printed 25),2026-09-14
Boston,MA,2022,2022-06-30,general_fund_budgetary_by_department,420412000,289514000,784791000,3838630000,"General Fund total expenditures, budgetary basis (includes Boston Public Schools 1,294,706k, charter tuition 229,842k; pension costs 327,014k separate)",no,no,actual,https://www.boston.gov/sites/default/files/file/2023/03/2022-2023-ACFR_Final.pdf,PDF p.112-113 (printed 89-90),2026-09-14
Baltimore,MD,2022,2022-06-30,acfr_statement_of_activities_governmental,,,495295000,2210501000,total governmental activities expenses (function = Public safety and regulation; SEE NOTES - accrual pension credit),yes,yes,actual,https://s3.amazonaws.com/baltimorecity.gov.if-us-east-1/s3fs-public/2024-02/acfr_cy_22.pdf,PDF p.45 (printed 21),2026-09-14
Baltimore,MD,2022,2022-06-30,acfr_general_fund_by_function,,,867723000,2170834000,General Fund total expenditures (GAAP) (function = Public safety and regulation),yes,yes,actual,https://s3.amazonaws.com/baltimorecity.gov.if-us-east-1/s3fs-public/2024-02/acfr_cy_22.pdf,PDF p.47 (printed 23),2026-09-14
Baltimore,MD,2022,2022-06-30,acfr_all_governmental_funds_by_function,,,912725000,2702306000,total governmental funds expenditures (GAAP),yes,yes,actual,https://s3.amazonaws.com/baltimorecity.gov.if-us-east-1/s3fs-public/2024-02/acfr_cy_22.pdf,PDF p.47 (printed 23),2026-09-14
Baltimore,MD,2022,2022-06-30,general_fund_budgetary_by_department,513796000,271684000,,1999523000,"General Fund total expenditures and encumbrances, budgetary basis (includes 275,514k Baltimore City Public School System)",yes,yes,actual,https://s3.amazonaws.com/baltimorecity.gov.if-us-east-1/s3fs-public/2024-02/acfr_cy_22.pdf,PDF p.121 (printed 97),2026-09-14
Memphis,TN,2022,2022-06-30,acfr_statement_of_activities_governmental,,,614942000,1399380000,total governmental activities expenses,yes,yes,actual,https://memphistn.gov/wp-content/uploads/2025/01/FY22-Printable_Complete-Book_Annual-Comprehensive-Financial-Report-1.pdf,"PDF p.68 (printed 47, Exhibit A-2)",2026-09-14
Memphis,TN,2022,2022-06-30,acfr_general_fund_by_function,,,483645000,747177000,General Fund total expenditures (GAAP),yes,yes,actual,https://memphistn.gov/wp-content/uploads/2025/01/FY22-Printable_Complete-Book_Annual-Comprehensive-Financial-Report-1.pdf,"PDF p.72 (printed 51, Exhibit A-5)",2026-09-14
Memphis,TN,2022,2022-06-30,acfr_all_governmental_funds_by_function,,,508638000,1353785000,total governmental funds expenditures (GAAP),yes,yes,actual,https://memphistn.gov/wp-content/uploads/2025/01/FY22-Printable_Complete-Book_Annual-Comprehensive-Financial-Report-1.pdf,"PDF p.72 (printed 51, Exhibit A-5)",2026-09-14
Memphis,TN,2022,2022-06-30,general_fund_budgetary_by_department,283012000,202506000,485518000,746812000,"General Fund total expenditures, basis of budgeting (Exhibit A-8; excludes 4,061k transfers out)",yes,yes,actual,https://memphistn.gov/wp-content/uploads/2025/01/FY22-Printable_Complete-Book_Annual-Comprehensive-Financial-Report-1.pdf,"PDF p.78-79 (printed 57-58, Exhibit A-8)",2026-09-14
Las Vegas,NV,2022,2022-06-30,acfr_statement_of_activities_governmental,,,268545568,666560763,total governmental activities expenses (SEE NOTES - accrual PERS credit; fund-level public safety is 403m),yes,yes,actual,https://files.lasvegasnevada.gov/finance/2022-CLV_Annual_Comprehensive_Financial_Report-Final-Updated-Feb-9-2023.pdf,PDF p.50 (printed 40),2026-09-14
Las Vegas,NV,2022,2022-06-30,acfr_general_fund_by_function,,,403404813,589757774,"General Fund total expenditures (GAAP); public safety current expenditures only (public safety capital outlay 66,037 shown separately)",yes,yes,actual,https://files.lasvegasnevada.gov/finance/2022-CLV_Annual_Comprehensive_Financial_Report-Final-Updated-Feb-9-2023.pdf,PDF p.56 (printed 46),2026-09-14
Las Vegas,NV,2022,2022-06-30,acfr_all_governmental_funds_by_function,,,409076733,900939412,"total governmental funds expenditures (GAAP); public safety current only (public safety capital outlay 17,626,994 shown separately)",yes,yes,actual,https://files.lasvegasnevada.gov/finance/2022-CLV_Annual_Comprehensive_Financial_Report-Final-Updated-Feb-9-2023.pdf,PDF p.56 (printed 46),2026-09-14
Las Vegas,NV,2022,2022-06-30,general_fund_budgetary_by_department,167253759,155609043,403470850,567887104,"General Fund total expenditures, budget basis; police = 151,525,764 LVMPD contribution + 15,727,995 city marshals; fire = 155,410,514 fire and rescue + 198,529 emergency management; public safety also includes corrections 57,299,066",yes,yes,actual,https://files.lasvegasnevada.gov/finance/2022-CLV_Annual_Comprehensive_Financial_Report-Final-Updated-Feb-9-2023.pdf,PDF p.59-60 (printed 49-50); detail PDF p.152-153 (printed 136-137),2026-09-14
Las Vegas,NV,2022,2022-06-30,lvmpd_city_contribution,151464415,,,567887104,"General Fund total expenditures, budget basis; police = amount the City paid Metro in FY2022 per the joint-venture note (City funding share 36.4%)",yes,yes,actual,https://files.lasvegasnevada.gov/finance/2022-CLV_Annual_Comprehensive_Financial_Report-Final-Updated-Feb-9-2023.pdf,"PDF p.91 (printed 81, Note 6.A)",2026-09-14
Las Vegas,NV,2022,2022-06-30,lvmpd_joint_venture_total_expenditures,648345618,,,648345618,"LVMPD total expenditures FY2022 (joint venture with Clark County, all funding partners; City of Las Vegas funds 36.4%) - NOT a city denominator",yes,yes,actual,https://files.lasvegasnevada.gov/finance/2022-CLV_Annual_Comprehensive_Financial_Report-Final-Updated-Feb-9-2023.pdf,"PDF p.91 (printed 81, Note 6.A)",2026-09-14
Louisville,KY,2022,2022-06-30,acfr_statement_of_activities_governmental_10yr_table,213042242,,209217583,1070721978,"total governmental activities expenses, FY2022 column of the FY2023 ACFR ten-year table; police = Louisville Metro Police Department; public_safety_usd = 'Public Protection' group (Fire, EMS, MetroSafe, Corrections, Youth Transitional Services, Animal Services, CJC, closed police/fire pension funds) which EXCLUDES LMPD",yes,no,actual,https://louisvilleky.gov/sites/default/files/2024-02/fy23_acfr.pdf,"FY2023 ACFR PDF p.167 (printed 167), FY2022 column",2026-09-14
Louisville,KY,2022,2022-06-30,acfr_all_governmental_funds_by_department_10yr_table,199758816,,193090835,1139550025,"total governmental funds expenditures (GAAP), FY2022 column of the FY2023 ACFR ten-year table; public_safety_usd = 'Public Protection' group excluding LMPD (see above)",yes,no,actual,https://louisvilleky.gov/sites/default/files/2024-02/fy23_acfr.pdf,"FY2023 ACFR PDF p.170 (printed 170), FY2022 column",2026-09-14
Louisville,KY,2022,2022-06-30,all_funds_adopted_by_department,195895700,72346000,,830291200,"All-funds operating appropriations, FY2021-22 original budget (total appropriations 1,089,108,834 less 258,817,634 capital/debt service)",yes,no,adopted,https://louisvilleky.gov/sites/default/files/2022-05/2022-2023%20MAYOR'S%20RECOMMENDED%20EXECUTIVE%20BUDGET%20with%20Bookmarks.pdf,FY2022-23 Recommended Executive Budget PDF p.88 (printed 81); p.73-75 (printed 66-68),2026-09-14
Louisville,KY,2022,2022-06-30,general_fund_adopted_by_department,185295900,69355000,,717305100,"General Fund group (General Fund/Municipal Aid/County Road Aid/Community Development/Capital-Other) operating appropriations, FY2021-22 original budget = 771,577,998 total appropriations less 54,272,898 capital/debt service",yes,no,adopted,https://louisvilleky.gov/sites/default/files/2022-05/2022-2023%20MAYOR'S%20RECOMMENDED%20EXECUTIVE%20BUDGET%20with%20Bookmarks.pdf,FY2022-23 Recommended Executive Budget PDF p.65-67 (printed 58-60),2026-09-14
St. Louis,MO,2022,2022-06-30,acfr_statement_of_activities_governmental,170281000,81272000,,824931000,"total governmental activities expenses (a third public safety line, 'Other', is 54,349k)",yes,yes,actual,https://www.stlouis-mo.gov/government/departments/comptroller/documents/upload/CityofStLouisMissouri_ACFR-FY22.pdf,PDF p.37 (printed 23),2026-09-14
St. Louis,MO,2022,2022-06-30,acfr_general_fund_by_function,155724000,72435000,,503228000,"General Fund total expenditures (GAAP) (public safety 'Other' 35,378k)",yes,yes,actual,https://www.stlouis-mo.gov/government/departments/comptroller/documents/upload/CityofStLouisMissouri_ACFR-FY22.pdf,PDF p.40 (printed 26),2026-09-14
St. Louis,MO,2022,2022-06-30,acfr_all_governmental_funds_by_function,198236000,85847000,,911821000,"total governmental funds expenditures (GAAP) (public safety 'Other' 53,563k)",yes,yes,actual,https://www.stlouis-mo.gov/government/departments/comptroller/documents/upload/CityofStLouisMissouri_ACFR-FY22.pdf,PDF p.40 (printed 26),2026-09-14
St. Louis,MO,2022,2022-06-30,general_fund_budgetary_by_department,152793000,71371000,,483095000,"General Fund total expenditures, budgetary basis; police = Police Department 125,625k + Police Retirement System 26,340k + prior-year encumbrance 828k; fire = Fire Department Operations 62,668k + Firemen's Retirement System 8,703k",yes,yes,actual,https://www.stlouis-mo.gov/government/departments/comptroller/documents/upload/CityofStLouisMissouri_ACFR-FY22.pdf,"PDF p.173-174 (printed 158-159, Schedule 1)",2026-09-14
Atlanta,GA,2022,2022-06-30,acfr_statement_of_activities_governmental,195638000,79966000,,943369000,"total governmental activities expenses (separate Corrections line 11,712k)",yes,no,actual,https://www.atlantaga.gov/home/showpublisheddocument/57848/638083685314830000,PDF p.54 (printed 26),2026-09-14
Atlanta,GA,2022,2022-06-30,acfr_general_fund_by_function,226073000,102902000,,640760000,"General Fund total expenditures (GAAP) (Corrections 14,397k separate)",yes,no,actual,https://www.atlantaga.gov/home/showpublisheddocument/57848/638083685314830000,PDF p.58 (printed 30),2026-09-14
Atlanta,GA,2022,2022-06-30,acfr_all_governmental_funds_by_function,255441000,105015000,,1174612000,total governmental funds expenditures (GAAP),yes,no,actual,https://www.atlantaga.gov/home/showpublisheddocument/57848/638083685314830000,PDF p.58 (printed 30),2026-09-14
Atlanta,GA,2022,2022-06-30,general_fund_budgetary_by_department,226073000,102902000,,640760000,"General Fund total expenditures, budget basis (Atlanta budgets on the GAAP basis, so identical to the fund statement)",yes,no,actual,https://www.atlantaga.gov/home/showpublisheddocument/57848/638083685314830000,PDF p.199 (printed 166),2026-09-14
